ticker,EPS,PER,BPS,PBR,DPS,DIV
007570,548,63.88,10081,3.47,120,0.34
007575,0,0.0,0,0.0,145,0.43
008500,0,0.0,24611,0.56,0,0.0
081000,914,45.62,12656,3.29,300,0.72
020760,0,0.0,1665,2.79,0,0.0
020150,1016,66.25,12390,5.43,50,0.07
103590,97,38.2,8191,0.45,0,0.0
015860,274,18.39,5815,0.87,100,1.98
226320,0,0.0,18789,1.44,100,0.37
317400,677,16.62,5419,2.08,100,0.89
033240,0,0.0,15564,1.03,0,0.0
000950,0,0.0,50283,0.7,0,0.0
194370,646,19.97,11755,1.1,500,3.88
025620,0,0.0,1906,1.11,0,0.0
036420,79,576.0,22129,2.06,0,0.0
030000,1363,15.59,8229,2.58,820,3.86
271980,0,0.0,11564,3.49,70,0.17
001560,853,8.52,8396,0.87,220,3.03
002620,0,0.0,24634,0.73,70,0.39
006220,796,10.49,15491,0.54,100,1.2
089590,0,0.0,11248,2.08,0,0.0
004910,0,0.0,13495,0.47,200,3.13
004700,4076,13.71,41361,1.35,0,0.0
001550,0,0.0,9237,2.18,0,0.0
000480,7493,10.57,147942,0.54,4000,5.05
120030,11834,9.63,87844,1.3,1500,1.32
018470,0,0.0,1617,0.38,0,0.0
002600,13076,13.35,215770,0.81,6000,3.44
185750,4751,33.25,41506,3.81,900,0.57
063160,2280,27.06,28890,2.14,200,0.32
001630,8988,11.96,93600,1.15,1300,1.21
044380,0,0.0,731,1.44,0,0.0
013890,5473,15.62,24027,3.56,1250,1.46
013870,143,53.44,11858,0.64,30,0.39
071320,0,0.0,132086,0.28,0,0.0
010580,0,0.0,314,0.97,0,0.0
035000,941,5.84,8625,0.64,300,5.45
088790,0,0.0,8030,0.58,100,2.15
003780,525,10.1,3159,1.68,200,3.77
010640,755,4.44,2658,1.26,100,2.98
100250,276,9.98,5507,0.5,170,6.17
051630,0,0.0,2221,2.03,0,0.0
272450,0,0.0,5750,3.47,0,0.0
011000,0,0.0,898,14.64,0,0.0
002780,140,19.2,664,4.05,0,0.0
002787,0,0.0,0,0.0,0,0.0
002785,0,0.0,0,0.0,0,0.0
009310,0,0.0,1002,1.59,0,0.0
000650,506,129.0,35686,1.83,5000,7.66
033250,0,0.0,954,1.62,0,0.0
035720,0,0.0,60603,7.94,127,0.03
006380,0,0.0,4613,0.88,0,0.0
109070,0,0.0,1010,4.06,0,0.0
001620,0,0.0,2665,0.33,0,0.0
029460,4054,6.56,33184,0.8,250,0.94
344820,0,0.0,0,0.0,0,0.0
281820,1859,13.82,14541,1.77,200,0.78
007815,0,0.0,0,0.0,0,0.0
007810,25,506.0,12169,1.04,0,0.0
00781K,0,0.0,0,0.0,0,0.0
003690,1550,5.39,20404,0.41,500,5.99
192820,3168,37.1,34178,3.44,900,0.77
044820,42,379.8,30613,0.52,250,1.57
005070,0,0.0,5026,3.87,0,0.0
005420,0,0.0,5351,2.11,0,0.0
071950,70,16.7,811,1.44,0,0.0
002020,0,0.0,43841,0.51,500,2.26
003070,1922,10.51,18259,1.11,350,1.73
003075,0,0.0,0,0.0,400,1.61
144620,0,0.0,1028,3.16,0,0.0
002025,0,0.0,0,0.0,550,4.07
120110,1087,51.06,67767,0.82,900,1.62
120115,0,0.0,0,0.0,950,3.7
138490,143,39.66,5200,1.09,70,1.23
021240,4611,14.44,14611,4.56,2400,3.6
031820,20,74.75,1398,1.07,0,0.0
192400,12779,10.8,94719,1.46,3000,2.17
284740,2892,13.83,19326,2.07,560,1.4
015590,17,36.28,451,1.37,0,0.0
264900,1425,7.12,10682,0.95,250,2.46
26490K,0,0.0,0,0.0,252,2.46
005740,0,0.0,17087,0.57,100,1.03
005745,0,0.0,0,0.0,105,0.78
020120,139,86.7,1213,9.93,0,0.0
039490,14017,9.06,87976,1.44,2000,1.57
012170,0,0.0,0,0.0,0,0.0
014580,148,30.73,4846,0.94,100,2.2
015890,1023,5.69,8089,0.72,370,6.36
006890,858,16.03,10215,1.35,150,1.09
003240,161659,5.67,2855185,0.32,1550,0.17
011280,270,17.73,4325,1.11,290,6.05
004100,0,0.0,1773,0.92,5,0.31
004105,0,0.0,0,0.0,10,0.34
009410,1326,8.82,14630,0.8,150,1.28
009415,0,0.0,0,0.0,155,1.44
001420,73,57.12,4237,0.98,85,2.04
007980,241,7.84,3458,0.55,30,1.59
055490,1617,25.48,21349,1.93,0,0.0
078000,761,14.91,11450,0.99,550,4.85
214420,0,0.0,5600,1.44,0,0.0
019180,959,3.33,3503,0.91,60,1.88
363280,0,0.0,0,0.0,0,0.0
36328K,0,0.0,0,0.0,0,0.0
091810,0,0.0,2357,1.17,0,0.0
004870,0,0.0,2103,0.71,0,0.0
005690,73,216.5,859,18.39,0,0.0
036580,0,0.0,7977,1.01,50,0.62
028670,284,22.5,5400,1.18,0,0.0
010820,0,0.0,583,4.17,0,0.0
016800,3601,8.26,38601,0.77,1000,3.36
001020,0,0.0,436,5.25,0,0.0
090080,0,0.0,610,1.8,0,0.0
010770,0,0.0,7971,0.47,150,3.99
058430,446,65.0,36256,0.8,400,1.38
047050,1697,13.23,24703,0.91,700,3.12
003670,1569,100.4,15352,10.26,400,0.25
007630,0,0.0,1509,0.81,0,0.0
017810,56,296.5,9425,1.76,102,0.61
103140,629,52.3,49306,0.67,400,1.22
005810,2544,8.94,62585,0.36,1400,6.15
033180,0,0.0,3111,1.29,0,0.0
086790,7898,5.27,93673,0.44,2100,5.05
293480,1778,12.96,13601,1.69,460,2.0
039130,0,0.0,15562,4.27,1000,1.51
071090,16,1544.0,63833,0.39,100,0.4
019490,0,0.0,3091,3.25,0,0.0
000080,0,0.0,14488,2.52,700,1.92
000087,0,0.0,0,0.0,0,0.0
000140,0,0.0,18398,0.85,350,2.24
000145,0,0.0,0,0.0,400,2.8
036460,395,81.25,85073,0.38,380,1.18
005430,5318,7.33,102021,0.38,1000,2.56
071050,14467,6.03,81250,1.07,2900,3.32
071055,0,0.0,0,0.0,2962,4.69
010040,193,19.52,6144,0.61,35,0.93
025540,3062,24.3,68181,1.09,700,0.94
004090,0,0.0,212214,0.84,1500,0.84
002200,4505,4.78,61942,0.35,600,2.78
002960,16174,15.24,75323,3.27,16000,6.49
000240,1650,10.67,35269,0.5,350,1.99
123890,733,5.48,5339,0.75,200,4.98
015760,0,0.0,105140,0.22,0,0.0
006200,0,0.0,2289,0.76,0,0.0
009540,2183,53.84,163436,0.72,0,0.0
023350,0,0.0,8724,0.81,100,1.42
025890,0,0.0,2848,0.61,0,0.0
000970,585,14.79,11819,0.73,200,2.31
104700,415,20.45,15742,0.54,200,2.36
017960,431,26.33,7114,1.6,120,1.06
161890,1284,44.7,20601,2.79,330,0.57
024720,2364,11.42,22998,1.17,195,0.72
161390,3387,13.43,57774,0.79,550,1.21
034830,449,4.49,3476,0.58,110,5.46
007280,0,0.0,2085,0.88,0,0.0
010100,373,7.49,7092,0.39,50,1.79
047810,1748,20.02,11714,2.99,400,1.14
123690,0,0.0,2190,5.57,0,0.0
003350,0,0.0,10597,3.38,100,0.28
011500,652,24.77,7692,2.1,150,0.93
002390,2544,10.67,24757,1.1,275,1.01
014790,28,175.0,5322,0.92,0,0.0
060980,3921,10.2,84613,0.47,2000,5.0
053690,2222,4.49,10777,0.93,200,2.01
042700,383,59.28,3839,5.91,100,0.44
008930,467,127.6,9607,6.2,200,0.34
128940,4352,73.3,60099,5.31,500,0.16
009240,2423,41.88,25215,4.03,1200,1.18
020000,3881,9.61,42450,0.88,450,1.21
003680,0,0.0,8081,0.97,0,0.0
105630,0,0.0,9945,2.06,500,2.44
069640,0,0.0,7793,0.45,0,0.0
016450,513,14.81,6786,1.12,250,3.29
010420,154,12.99,2004,1.0,25,1.25
009180,215,15.4,1713,1.93,40,1.21
213500,1683,7.9,24810,0.54,600,4.51
014680,7798,29.23,39713,5.74,1500,0.66
004710,245,40.8,8145,1.23,0,0.0
004150,602,6.05,9195,0.4,0,0.0
025750,0,0.0,1914,1.0,0,0.0
004960,6212,2.9,43693,0.41,350,1.94
011700,51,35.1,2496,0.72,15,0.84
001750,1726,6.0,22236,0.47,350,3.38
001755,0,0.0,0,0.0,400,2.55
018880,597,29.56,4153,4.25,320,1.81
009420,375,61.47,2688,8.58,0,0.0
014130,479,12.59,5960,1.01,70,1.16
300720,9772,11.97,214009,0.55,4700,4.02
002220,0,0.0,6586,0.35,0,0.0
006390,2458,15.81,12164,3.19,1000,2.57
003300,461,23.55,33397,0.32,460,4.24
051600,3407,8.23,23632,1.19,1920,6.84
052690,694,29.31,12878,1.58,310,1.52
130660,530,8.62,2632,1.74,227,4.97
002320,0,0.0,72343,0.6,500,1.14
097230,5185,1.36,2943,2.39,0,0.0
003480,1160,3.29,11298,0.34,0,0.0
180640,0,0.0,20882,2.83,255,0.43
18064K,0,0.0,0,0.0,280,0.73
005110,0,0.0,593,2.08,0,0.0
009460,125,19.0,1440,1.65,20,0.84
000880,1051,28.27,45198,0.66,700,2.36
00088K,0,0.0,0,0.0,750,5.34
088350,18,176.6,14606,0.22,30,0.94
000370,0,0.0,12154,0.33,0,0.0
009830,0,0.0,34147,1.29,200,0.45
009835,0,0.0,0,0.0,250,0.48
272210,706,27.12,8786,2.18,310,1.62
012450,2558,16.12,48217,0.86,0,0.0
000885,0,0.0,0,0.0,750,1.88
003530,511,5.33,5265,0.52,0,0.0
003535,0,0.0,0,0.0,0,0.0
195870,1078,29.31,12267,2.58,350,1.11
101530,0,0.0,8359,1.0,150,1.79
143210,320,21.4,14807,0.46,130,1.9
000720,3656,11.43,59778,0.7,600,1.44
267270,169,280.2,61453,0.77,0,0.0
000725,0,0.0,0,0.0,650,0.38
005440,628,15.54,17576,0.56,210,2.15
086280,13395,14.71,124541,1.58,3500,1.78
064350,0,0.0,9695,2.15,0,0.0
079430,968,16.84,22301,0.73,150,0.92
012330,24234,12.52,339207,0.89,4000,1.32
010620,1335,43.8,58022,1.01,350,0.6
069960,8639,10.11,181263,0.48,1000,1.15
004560,1433,13.47,26531,0.73,100,0.52
004565,0,0.0,0,0.0,150,0.16
011760,1292,13.74,25722,0.69,600,3.38
004310,42,188.4,2737,2.89,45,0.57
322000,2788,11.94,28380,1.17,0,0.0
017800,1190,37.8,22966,1.96,900,2.0
307950,2673,44.34,24259,4.88,710,0.6
011210,2078,39.62,113690,0.72,700,0.85
267260,0,0.0,19418,1.04,0,0.0
004020,130,328.8,126631,0.34,750,1.75
267250,11848,23.45,490707,0.57,18500,6.65
005380,11310,20.56,253001,0.92,4000,1.72
005387,0,0.0,0,0.0,4100,4.04
005389,0,0.0,0,0.0,4050,4.14
005385,0,0.0,0,0.0,4050,3.84
001500,2315,5.36,25525,0.49,600,4.84
227840,1183,10.48,19704,0.63,500,4.03
126560,343,13.64,6569,0.71,60,1.28
001450,3161,7.42,50452,0.46,880,3.75
057050,7354,10.54,144315,0.54,2000,2.58
093240,0,0.0,2007,2.06,0,0.0
003010,412,14.64,8192,0.74,60,1.0
111110,346,30.78,14353,0.74,250,2.35
008770,4483,18.69,22979,3.65,350,0.42
008775,0,0.0,0,0.0,400,0.48
002460,634,17.9,29797,0.38,500,4.41
013520,376,9.71,4046,0.9,25,0.68
241590,1031,16.1,5759,2.88,45,0.27
006060,1092,7.11,5972,1.3,45,0.58
010690,202,24.28,8582,0.57,50,1.02
133820,0,0.0,3118,0.82,0,0.0
010660,0,0.0,5663,0.45,0,0.0
000850,3388,9.39,134845,0.24,1250,3.93
016580,1225,14.78,14719,1.23,300,1.66
032560,1795,5.06,18579,0.49,100,1.1
004800,5100,15.88,115817,0.7,5000,6.17
094280,899,21.47,4162,4.64,500,2.59
298040,1411,49.88,97403,0.72,0,0.0
298050,0,0.0,72195,4.36,0,0.0
298020,21569,22.39,112984,4.27,2000,0.41
298000,27637,8.54,142536,1.66,5000,2.12
093370,87,118.4,2295,4.49,15,0.15
081660,4382,9.72,20448,2.08,219,0.51
005870,589,11.04,8207,0.79,0,0.0
079980,0,0.0,11407,0.7,150,1.89
005010,0,0.0,52030,0.18,300,3.15
069260,1812,13.22,15970,1.5,1000,4.18
000540,510,7.57,10926,0.35,0,0.0
000547,0,0.0,0,0.0,0,0.0
000545,0,0.0,0,0.0,0,0.0
003280,0,0.0,276,0.93,0,0.0
